,FrameIDSync,centre_x,centre_y,mainAx_x,mainAx_y,Area,rot1,rot2,rot3,trans1,trans2,trans3,Surfaced
33,49.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
34,54.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
35,59.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
36,64.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
37,69.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
38,74.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
39,79.0,,,,,,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,0
40,84.0,1068.0,1013.0,1167.0,1015.0,4411.0,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,1
41,85.0,1080.0,1014.0,1178.0,1014.0,4421.5,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,1
42,86.0,1091.0,1013.0,1188.0,1014.0,4379.0,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,1
43,87.0,1101.0,1013.0,1201.0,1012.0,4396.5,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,1
44,88.0,1112.0,1012.0,1208.0,1017.0,4208.5,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,1
45,89.0,1123.0,1012.0,1222.0,1015.0,4189.0,-3.1102041159677434,0.02429325691235494,0.3680118545768444,-49.446950051365974,-11.816798639007907,202.72498054740817,1
