,FrameId,x,y,z,Area,Surfaced
61,788.0,63.26253013950255,-10.292427706018099,-34.2431593937009,4209.0,0.0
62,789.0,63.94395234614217,-10.1951212455634,-32.21621529327503,4031.5,0.0
63,790.0,64.65657660591927,-10.150385251045964,-29.853997819704688,3850.0,1.0
64,791.0,65.2521937156575,-10.156524116478966,-27.4958659869069,3552.5,0.0
65,792.0,65.8373093385563,-10.113162367961023,-25.171278455728178,3288.0,0.0
66,793.0,68.48579697059633,-9.98022834576123,-32.07437541331888,4295.0,0.0
67,794.0,69.56653799487682,-9.976396463571916,-32.25771237424091,4385.5,0.0
68,795.0,68.18567961957618,-9.941749141666495,-18.135401699144296,2841.0,0.0
69,796.0,71.80598991678168,-9.87575296836491,-30.400471582697932,4603.5,0.0
70,797.0,72.98824798817937,-10.334799693320637,-28.03053736315038,4731.0,0.0
71,798.0,74.03186189502834,-10.48531467531593,-27.05789324172583,5042.5,0.0
72,1175.0,48.577388472907884,-10.821773640880252,86.93596578546499,3776.0,1.0
73,1176.0,49.13328648528983,-10.848203757248825,86.88690242759965,3748.5,1.0
74,1177.0,49.59779024640762,-10.97379632293351,87.2769393909836,3964.0,1.0
75,1178.0,50.24596011766951,-10.872523229678237,86.80724895177542,3809.0,1.0
76,1179.0,50.769560764772336,-10.928030165554162,86.65720732365963,3730.5,1.0
77,1180.0,51.29335863599904,-10.893215330017867,86.5070018180407,3518.5,1.0
78,1181.0,51.84916196973283,-10.890646762693066,86.228457754711,3582.5,1.0
79,1182.0,52.475818816274604,-10.917899048296022,86.45901641956232,3589.5,1.0
80,1183.0,53.00314839886542,-10.912881166827319,86.58659321764202,3300.0,1.0
81,1328.0,43.84154136446809,-9.279336858108138,-83.05141935131934,7611.0,1.0
82,1329.0,45.002547244372515,-9.342258455910283,-81.6770241892099,7476.0,1.0
83,1330.0,46.08258517686724,-9.344226810819379,-80.7491525139939,7323.0,1.0
84,1331.0,47.26191189083587,-9.339126287578452,-80.88816091789423,7317.0,1.0
85,1332.0,49.06143376113312,-9.462216353600027,-81.25756917292391,7573.0,1.0
86,1338.0,55.71379540326146,-9.84835033368448,-87.42546802860569,8880.5,1.0
87,1339.0,56.73565146438456,-9.90245978104798,-87.88743337081439,8734.0,1.0
88,1340.0,57.73230009943747,-9.972876995717144,-86.15841336889451,8829.5,1.0
89,1341.0,58.66567424501582,-10.033860231234499,-85.00034448609384,8663.5,1.0
